i,s,kappa,vlim,v_fwd,v_final,ay,slack
0,0.000000,0.239372,2.503270,1.333271,1.333271,0.425511,1.074489
1,0.499988,0.557151,1.640811,1.640811,1.640811,1.499997,0.000003
2,0.911340,0.448697,1.828389,1.828389,1.828389,1.499997,0.000003
3,1.082772,0.449092,1.827584,1.827584,1.827584,1.499997,0.000003
4,1.603895,0.511483,1.712496,1.712496,1.712496,1.499997,0.000003
5,2.167674,0.521426,1.696090,1.696090,1.696090,1.499997,0.000003
6,2.707360,0.438447,1.849636,1.849636,1.849636,1.499997,0.000003
7,2.863910,0.474016,1.778888,1.778888,1.778888,1.499997,0.000003
8,3.352970,0.675631,1.490015,1.490015,1.490015,1.499998,0.000002
9,3.677282,0.623439,1.551131,1.551131,1.551131,1.499998,0.000002
10,4.219782,0.473601,1.779667,1.779667,1.779667,1.499997,0.000003
11,4.535247,0.256139,2.419954,2.104537,2.104537,1.134458,0.365542
12,4.964450,0.219251,2.615617,2.479091,1.767910,0.685269,0.814731
13,5.472161,0.019783,4.000000,2.859499,0.766127,0.011612,1.488388
14,5.571552,0.007021,4.000000,2.928190,0.300000,0.000632,1.499368
