t,min_slack,violations
0.066083,0.000009,0
0.132065,0.000008,0
0.198069,0.000004,0
0.264127,0.000005,0
0.330096,0.000010,0
0.396892,0.000009,0
0.462111,0.000009,0
0.528147,0.000009,0
0.594145,0.000010,0
0.660079,0.000002,0
0.726071,0.000003,0
0.792130,0.000002,0
0.858099,0.000002,0
0.924074,0.000003,0
0.990068,0.000002,0
1.056073,0.000005,0
1.122068,0.000004,0
1.188077,0.000003,0
1.254103,0.000003,0
1.320120,0.000010,0
1.386107,0.000011,0
1.452102,0.000010,0
1.519632,0.000010,0
1.585025,0.000010,0
1.650707,0.000007,0
1.716105,0.000010,0
1.782275,0.000010,0
1.848072,0.000007,0
1.914098,0.000006,0
1.980091,0.000011,0
2.046035,0.000010,0
2.113075,0.000005,0
2.178065,0.000006,0
2.244046,0.000010,0
2.310037,0.000010,0
2.376050,0.000007,0
2.442080,0.000009,0
2.508106,0.000006,0
2.574087,0.000003,0
2.640056,0.000002,0
2.706056,0.000004,0
2.772072,0.000010,0
2.838022,0.000001,0
2.904054,0.000002,0
2.970105,0.000002,0
3.036105,0.000011,0
3.102049,0.000002,0
3.168027,0.000008,0
3.234058,0.000003,0
3.300081,0.000003,0
3.366046,0.000002,0
3.432107,0.000008,0
3.498066,0.000003,0
3.564154,0.000002,0
3.630071,0.000002,0
3.696033,0.000004,0
3.762021,0.000003,0
3.828039,0.000002,0
3.894078,0.000003,0
3.960778,0.000004,0
4.026949,0.000004,0
4.092058,0.000010,0
4.158058,0.000009,0
4.224057,0.000010,0
4.290068,0.000010,0
4.356043,0.000010,0
4.422846,0.000010,0
4.488004,0.000009,0
4.554074,0.000002,0
4.620100,0.000006,0
4.686012,0.000010,0
4.752059,0.000006,0
4.818022,0.000006,0
4.884047,0.000011,0
4.950101,0.000004,0
5.016167,0.000007,0
5.082019,0.000002,0
5.148017,0.000008,0
5.214048,0.000002,0
5.280064,0.000004,0
5.345984,0.000002,0
5.412108,0.000009,0
5.478015,0.000007,0
5.544001,0.000003,0
5.610035,0.000003,0
5.676791,0.000002,0
5.741982,0.000002,0
5.809140,0.000001,0
5.874140,0.000002,0
5.941130,0.000002,0
6.008031,0.000002,0
6.072810,0.000005,0
6.137996,0.000002,0
6.204040,0.000005,0
6.270025,0.000004,0
6.336026,0.000004,0
6.401986,0.000002,0
6.468046,0.000002,0
6.534023,0.000004,0
6.600021,0.000006,0
6.665960,0.000007,0
6.732004,0.000003,0
6.797995,0.000003,0
6.863986,0.000004,0
6.930045,0.000005,0
6.996023,0.000007,0
7.061986,0.000003,0
7.127985,0.000007,0
7.194023,0.000004,0
7.259983,0.000006,0
7.325994,0.000004,0
7.391983,0.000003,0
7.457977,0.000003,0
7.524006,0.000002,0
7.590280,0.000006,0
7.657099,0.000006,0
7.722998,0.000002,0
7.788021,0.000006,0
7.854030,0.000005,0
7.920025,0.000003,0
7.985954,0.000007,0
8.051991,0.000003,0
8.117994,0.000006,0
8.184031,0.000004,0
8.250077,0.000004,0
8.317071,0.000006,0
8.381963,0.000006,0
8.448214,0.000006,0
8.514833,0.000004,0
8.581337,0.000007,0
8.645979,0.000004,0
8.712029,0.000005,0
8.777938,0.000006,0
8.844025,0.000003,0
8.910708,0.000003,0
8.976042,0.000004,0
9.041986,0.000007,0
9.107946,0.000005,0
9.174045,0.000007,0
9.239952,0.000006,0
9.305957,0.000007,0
9.372016,0.000007,0
9.437935,0.000007,0
9.503951,0.000005,0
9.569963,0.000003,0
9.635978,0.000005,0
9.701946,0.000004,0
9.767947,0.000004,0
9.833975,0.000006,0
9.899944,0.000007,0
9.966051,0.000005,0
10.031985,0.000006,0
10.097949,0.000007,0
10.163935,0.000007,0
10.229947,0.000006,0
10.295974,0.000007,0
10.361981,0.000003,0
10.427975,0.000002,0
10.493998,0.000007,0
10.559990,0.000002,0
10.625952,0.000006,0
10.692486,0.000006,0
10.757951,0.000006,0
10.823980,0.000005,0
10.889929,0.000004,0
10.955934,0.000003,0
11.021926,0.000004,0
11.087911,0.000003,0
11.153996,0.000003,0
11.219924,0.000003,0
11.285936,0.000003,0
11.351966,0.000003,0
11.418077,0.000003,0
11.485007,0.000003,0
11.549973,0.000004,0
11.615946,0.000003,0
11.681917,0.000003,0
11.747917,0.000003,0
11.813934,0.000006,0
11.879917,0.000006,0
11.945917,0.000003,0
12.011970,0.000003,0
12.077890,0.000004,0
12.143923,0.000004,0
12.209917,0.000003,0
12.275989,0.000006,0
12.341960,0.000006,0
12.407882,0.000007,0
12.473950,0.000006,0
12.539951,0.000007,0
12.605907,0.000007,0
12.672484,0.000007,0
12.737909,0.000007,0
12.803901,0.000006,0
12.869898,0.000003,0
12.935837,0.000007,0
13.001896,0.000007,0
13.067897,0.000006,0
13.133922,0.000006,0
13.199892,0.000006,0
13.265885,0.000007,0
13.333017,0.000007,0
13.398212,0.000007,0
13.464523,0.000007,0
13.529884,0.000005,0
13.596429,0.000005,0
13.661954,0.000003,0
13.727930,0.000004,0
13.793959,0.000003,0
13.859907,0.000004,0
13.925897,0.000005,0
13.992045,0.000005,0
14.057886,0.000004,0
14.123871,0.000004,0
14.189882,0.000004,0
14.255907,0.000003,0
14.321877,0.000004,0
14.387896,0.000003,0
14.453907,0.000002,0
14.519894,0.000002,0
14.585889,0.000002,0
14.651881,0.000002,0
14.717853,0.000002,0
14.783888,0.000001,0
14.849877,0.000002,0
14.915892,0.000002,0
14.981868,0.000002,0
15.047847,0.000002,0
15.114802,0.121904,0
15.180225,0.000002,0
15.245897,0.000001,0
15.311888,0.000002,0
15.377851,0.366315,0
15.443863,0.000012,0
15.509886,0.000001,0
15.575894,0.000002,0
15.641863,0.000003,0
15.707852,0.000002,0
15.773884,0.000002,0
15.839861,0.654703,0
15.905851,0.552166,0
15.971878,0.000002,0
16.037858,0.000002,0
16.103859,0.000003,0
16.169844,0.000002,0
16.235874,0.343509,0
16.301868,0.000001,0
16.367838,0.000002,0
16.433863,0.000002,0
16.499854,0.039883,0
16.565909,0.000001,0
16.631863,0.391559,0
16.697892,0.495127,0
16.763849,0.000002,0
16.829854,0.000005,0
16.895851,0.000002,0
16.961840,0.000002,0
17.027849,0.000005,0
17.093847,0.378872,0
17.159848,0.000003,0
17.225856,0.000004,0
17.291836,0.000001,0
17.358256,0.000003,0
17.423925,0.000002,0
17.489902,0.000006,0
17.555941,0.000006,0
17.621879,0.000003,0
17.687832,0.000002,0
17.753899,0.000002,0
17.819872,0.000005,0
17.887018,0.000006,0
17.951912,0.000002,0
18.017868,0.000002,0
18.083879,0.000004,0
18.149880,0.000009,0
18.215889,0.000002,0
18.281875,0.000001,0
18.347822,0.000001,0
18.413840,0.000002,0
18.479808,0.000001,0
18.547013,0.000001,0
18.611821,0.000002,0
18.677840,0.000009,0
18.743829,0.000005,0
18.809812,0.000006,0
18.875841,0.000007,0
18.941816,0.000005,0
19.007836,0.000006,0
19.073879,0.000007,0
19.139864,0.000008,0
19.205869,0.000007,0
19.271814,0.000007,0
19.337826,0.000001,0
19.403840,0.000002,0
19.469793,0.000004,0
19.535833,0.000002,0
19.601851,0.000002,0
19.667820,0.000001,0
19.733814,0.000002,0
19.799796,0.000002,0
19.865883,0.000001,0
19.932749,0.000001,0
19.999022,0.000001,0
20.064715,0.000001,0
20.130397,0.000002,0
20.196663,0.000003,0
20.261880,0.000002,0
20.327956,0.000002,0
20.393823,0.000002,0
20.459840,0.000002,0
20.525828,0.000004,0
20.591782,0.000008,0
20.657917,0.000003,0
20.723847,0.000002,0
20.789853,0.000002,0
20.855813,0.000002,0
20.921878,0.000002,0
20.987792,0.000002,0
21.054396,0.000002,0
21.121009,0.000002,0
21.185826,0.000002,0
21.251822,0.000002,0
21.317826,0.000002,0
21.383841,0.000002,0
21.449761,0.000003,0
21.515804,0.000001,0
21.581778,0.000001,0
21.647804,0.000001,0
21.713839,0.000002,0
21.779786,0.000002,0
21.845781,0.000002,0
21.911784,0.000002,0
21.977811,0.000002,0
22.043817,0.000003,0
22.109779,0.000002,0
22.175815,0.000002,0
22.241751,0.000002,0
22.307793,0.000002,0
22.373847,0.000001,0
22.439762,0.000002,0
22.505784,0.000002,0
22.571789,0.000002,0
22.637814,0.000003,0
22.703771,0.000004,0
22.769770,0.000002,0
22.835768,0.000002,0
22.901812,0.000002,0
22.967822,0.000002,0
23.033761,0.000002,0
23.101011,0.000001,0
23.165807,0.000002,0
23.231820,0.000002,0
23.297823,0.000002,0
23.363755,0.000002,0
23.429760,0.000001,0
23.495793,0.000002,0
23.561752,0.000002,0
23.627765,0.000002,0
23.693771,0.000002,0
23.759798,0.000002,0
23.825804,0.000001,0
23.891760,0.000002,0
23.957824,0.000002,0
24.023805,0.000002,0
24.089735,0.000002,0
24.155775,0.000001,0
24.221739,0.000002,0
24.287792,0.000002,0
24.353750,0.000002,0
24.419787,0.000002,0
24.485785,0.000002,0
24.551749,0.000002,0
24.617808,0.000002,0
24.683744,0.000002,0
24.749736,0.000002,0
24.815740,0.000002,0
24.881777,0.000002,0
24.947795,0.000002,0
25.013817,0.000002,0
25.079765,0.000002,0
25.145747,0.000001,0
25.211733,0.000002,0
25.277799,0.000003,0
25.343730,0.000002,0
25.409706,0.000001,0
25.475739,0.000001,0
25.541714,0.000002,0
25.608401,0.000002,0
25.674191,0.000002,0
25.740680,0.000002,0
25.805731,0.000002,0
25.871731,0.000002,0
25.937702,0.000002,0
26.003721,0.000002,0
26.069766,0.000002,0
26.135776,0.000002,0
26.201799,0.000002,0
26.267708,0.000002,0
26.333766,0.000002,0
26.399727,0.000002,0
26.465770,0.000002,0
26.531714,0.000002,0
26.597712,0.000002,0
26.663711,0.000002,0
26.729708,0.000002,0
26.795747,0.000002,0
26.861746,0.000002,0
26.927778,0.000002,0
